n = 1000
1)	257	472
2)	324	843
3)	417	254
4)	506	513
5)	997	894
6)	182	172
7)	296	853
8)	699	229
9)	736	176
10)	672	332
11)	498	503
12)	105	167
13)	481	499
14)	146	541
15)	154	490
16)	507	487
17)	645	835
18)	263	809
19)	833	897
20)	453	510
21)	381	786
22)	497	515
23)	872	318
24)	144	362
25)	877	857
26)	711	906
27)	476	494
28)	505	960
29)	558	49
30)	602	64
31)	671	124
32)	1	26
33)	502	281
34)	824	151
35)	857	844
36)	501	500
37)	502	520
38)	164	544
39)	501	516
40)	485	1
41)	392	707
42)	836	40
43)	632	383
44)	481	490
45)	485	499
46)	79	121
47)	732	35
48)	712	97
49)	401	498
50)	878	601
51)	146	535
52)	995	128
53)	173	792
54)	466	480
55)	858	600
56)	477	537
57)	493	483
58)	63	466
59)	38	386
60)	874	985
61)	699	836
62)	622	830
63)	483	494
64)	57	536
65)	488	516
66)	138	731
67)	507	493
68)	523	493
69)	586	808
70)	590	651
71)	947	154
72)	760	954
73)	673	537
74)	487	511
75)	755	236
76)	234	118
77)	711	827
78)	509	506
79)	908	57
80)	205	843
81)	828	632
82)	496	510
83)	421	371
84)	492	486
85)	257	348
86)	702	601
87)	514	512
88)	506	489
89)	517	492
90)	532	476
91)	439	928
92)	193	37
93)	526	523
94)	510	484
95)	673	819
96)	82	485
97)	616	190
98)	514	508
99)	718	122
100)	484	514
101)	552	91
102)	259	575
103)	665	498
104)	457	511
105)	476	488
106)	488	508
107)	499	522
108)	502	492
109)	616	883
110)	65	689
111)	331	353
112)	507	533
113)	775	666
114)	832	875
115)	185	488
116)	395	82
117)	12	258
118)	313	982
119)	497	506
120)	495	514
121)	500	511
122)	507	486
123)	495	502
124)	71	886
125)	481	500
126)	875	20
127)	508	512
128)	72	190
129)	485	493
130)	719	252
131)	309	342
132)	613	279
133)	629	9
134)	280	379
135)	521	512
136)	523	541
137)	474	491
138)	756	214
139)	905	39
140)	262	721
141)	481	489
142)	535	525
143)	857	511
144)	91	154
145)	443	509
146)	258	26
147)	498	523
148)	951	146
149)	491	483
150)	514	464
151)	332	376
152)	340	554
153)	494	523
154)	46	806
155)	506	498
156)	393	384
157)	469	506
158)	56	559
159)	80	221
160)	497	497
161)	512	512
162)	453	24
163)	526	724
164)	700	9
165)	159	970
166)	848	627
167)	895	854
168)	32	266
169)	788	302
170)	958	871
171)	486	478
172)	498	507
173)	707	585
174)	948	897
175)	494	478
176)	119	12
177)	778	13
178)	565	152
179)	502	500
180)	636	580
181)	466	508
182)	484	491
183)	309	229
184)	948	417
185)	752	302
186)	811	700
187)	105	620
188)	123	815
189)	502	502
190)	628	310
191)	500	847
192)	429	230
193)	728	559
194)	622	962
195)	150	959
196)	104	614
197)	785	275
198)	508	501
199)	894	749
200)	2	189
201)	519	509
202)	224	517
203)	497	503
204)	29	354
205)	852	495
206)	450	573
207)	484	495
208)	499	497
209)	684	721
210)	472	477
211)	522	495
212)	486	492
213)	244	867
214)	402	790
215)	144	217
216)	967	507
217)	719	631
218)	385	600
219)	535	132
220)	743	344
221)	276	630
222)	494	505
223)	589	3
224)	866	215
225)	999	634
226)	506	517
227)	405	49
228)	510	474
229)	699	820
230)	764	513
231)	130	165
232)	495	480
233)	492	483
234)	797	703
235)	448	508
236)	636	704
237)	526	515
238)	58	792
239)	185	100
240)	494	99
241)	20	567
242)	514	477
243)	755	86
244)	232	810
245)	728	442
246)	630	265
247)	672	440
248)	103	178
249)	517	966
250)	113	768
251)	18	734
252)	476	511
253)	513	488
254)	524	520
255)	944	765
256)	479	488
257)	980	561
258)	507	518
259)	598	707
260)	121	517
261)	302	315
262)	505	497
263)	325	467
264)	427	108
265)	507	491
266)	658	854
267)	243	870
268)	484	521
269)	188	385
270)	519	502
271)	540	211
272)	244	703
273)	234	299
274)	507	513
275)	56	688
276)	432	117
277)	861	678
278)	638	501
279)	377	67
280)	488	525
281)	937	761
282)	156	802
283)	124	623
284)	452	671
285)	482	791
286)	514	495
287)	501	507
288)	499	726
289)	504	484
290)	966	804
291)	452	404
292)	750	307
293)	495	501
294)	510	502
295)	493	514
296)	527	195
297)	212	429
298)	884	533
299)	540	490
300)	508	486
301)	936	657
302)	444	187
303)	520	510
304)	827	218
305)	499	502
306)	619	487
307)	206	156
308)	502	484
309)	516	510
310)	340	343
311)	208	537
312)	848	288
313)	694	464
314)	574	872
315)	521	500
316)	919	525
317)	832	733
318)	76	758
319)	535	524
320)	522	463
321)	581	73
322)	497	482
323)	931	246
324)	300	268
325)	634	686
326)	512	518
327)	521	505
328)	39	247
329)	511	480
330)	496	506
331)	771	47
332)	473	509
333)	679	597
334)	512	489
335)	546	499
336)	493	494
337)	866	984
338)	508	105
339)	43	499
340)	87	320
341)	20	950
342)	505	490
343)	511	511
344)	327	507
345)	340	44
346)	487	487
347)	243	273
348)	715	16
349)	494	511
350)	562	734
351)	118	124
352)	697	297
353)	589	940
354)	485	508
355)	469	522
356)	481	2
357)	676	337
358)	476	479
359)	886	903
360)	420	115
361)	677	607
362)	235	447
363)	254	318
364)	483	519
365)	462	826
366)	199	154
367)	300	536
368)	563	60
369)	168	257
370)	483	497
371)	543	224
372)	920	504
373)	517	484
374)	32	132
375)	431	690
376)	987	819
377)	520	517
378)	510	492
379)	132	819
380)	501	478
381)	2	680
382)	497	510
383)	43	824
384)	488	469
385)	913	889
386)	457	32
387)	255	737
388)	504	552
389)	503	494
390)	352	510
391)	508	487
392)	398	702
393)	891	862
394)	500	493
395)	377	720
396)	673	638
397)	495	507
398)	98	520
399)	508	502
400)	769	963
401)	516	495
402)	10	655
403)	494	488
404)	478	487
405)	478	458
406)	528	510
407)	307	602
408)	612	505
409)	765	92
410)	513	514
411)	463	477
412)	427	998
413)	716	379
414)	501	475
415)	295	136
416)	432	404
417)	847	560
418)	239	874
419)	265	248
420)	278	246
421)	510	673
422)	850	597
423)	372	311
424)	514	519
425)	485	527
426)	468	28
427)	837	808
428)	515	475
429)	699	647
430)	476	740
431)	990	859
432)	822	906
433)	178	122
434)	530	491
435)	231	606
436)	558	813
437)	858	108
438)	511	494
439)	419	801
440)	175	90
441)	488	490
442)	370	649
443)	517	519
444)	885	122
445)	468	717
446)	499	523
447)	499	503
448)	94	157
449)	112	468
450)	166	341
451)	600	936
452)	47	971
453)	532	498
454)	733	163
455)	230	394
456)	513	507
457)	586	996
458)	782	633
459)	494	503
460)	463	588
461)	492	498
462)	482	491
463)	485	827
464)	213	861
465)	499	499
466)	516	505
467)	790	732
468)	517	200
469)	530	521
470)	479	503
471)	909	336
472)	160	387
473)	515	509
474)	62	390
475)	513	482
476)	506	499
477)	968	903
478)	334	351
479)	228	779
480)	812	488
481)	502	972
482)	494	484
483)	470	648
484)	136	346
485)	711	852
486)	236	916
487)	845	905
488)	646	417
489)	639	704
490)	616	319
491)	7	286
492)	899	404
493)	333	356
494)	875	193
495)	252	96
496)	629	2
497)	488	523
498)	766	78
499)	4	76
500)	508	523
501)	506	514
502)	655	491
503)	847	777
504)	546	497
505)	638	802
506)	373	638
507)	475	492
508)	1	653
509)	481	528
510)	516	504
511)	526	489
512)	926	726
513)	487	512
514)	97	29
515)	473	481
516)	3	525
517)	519	512
518)	493	482
519)	657	26
520)	495	504
521)	26	909
522)	486	529
523)	597	311
524)	779	0
525)	518	478
526)	42	990
527)	260	84
528)	512	484
529)	757	848
530)	940	741
531)	775	838
532)	897	862
533)	493	487
534)	951	403
535)	891	580
536)	511	472
537)	616	818
538)	999	931
539)	487	502
540)	835	191
541)	412	951
542)	349	29
543)	497	496
544)	522	150
545)	866	338
546)	495	518
547)	930	586
548)	228	934
549)	486	523
550)	657	436
551)	591	19
552)	429	358
553)	515	837
554)	504	497
555)	503	498
556)	491	498
557)	807	392
558)	730	658
559)	508	483
560)	460	510
561)	292	242
562)	498	311
563)	803	470
564)	958	515
565)	821	630
566)	131	791
567)	384	94
568)	496	148
569)	492	516
570)	479	490
571)	53	372
572)	886	642
573)	964	66
574)	86	367
575)	504	505
576)	327	964
577)	505	516
578)	498	517
579)	487	490
580)	764	327
581)	825	1
582)	532	768
583)	222	858
584)	480	500
585)	169	839
586)	305	388
587)	241	173
588)	65	179
589)	479	558
590)	464	474
591)	119	183
592)	42	584
593)	481	534
594)	501	519
595)	806	567
596)	490	488
597)	113	325
598)	365	572
599)	496	974
600)	215	73
601)	101	291
602)	883	472
603)	292	465
604)	100	148
605)	530	409
606)	473	495
607)	507	359
608)	878	922
609)	112	56
610)	677	755
611)	247	152
612)	760	347
613)	803	289
614)	906	746
615)	349	105
616)	379	755
617)	905	990
618)	433	947
619)	944	159
620)	827	75
621)	490	515
622)	497	509
623)	521	491
624)	492	506
625)	514	505
626)	584	388
627)	379	423
628)	247	915
629)	263	660
630)	306	778
631)	812	357
632)	657	602
633)	494	490
634)	501	526
635)	862	927
636)	311	613
637)	416	460
638)	925	546
639)	505	482
640)	523	484
641)	664	931
642)	539	475
643)	524	519
644)	154	943
645)	95	446
646)	508	493
647)	709	326
648)	642	80
649)	516	508
650)	917	708
651)	823	533
652)	475	525
653)	96	138
654)	83	261
655)	522	709
656)	842	526
657)	682	128
658)	744	896
659)	987	397
660)	342	62
661)	845	236
662)	202	379
663)	463	7
664)	793	429
665)	578	607
666)	489	501
667)	503	525
668)	536	33
669)	504	489
670)	294	801
671)	796	987
672)	392	391
673)	506	538
674)	774	473
675)	496	509
676)	777	244
677)	478	532
678)	700	587
679)	496	512
680)	906	776
681)	94	468
682)	549	374
683)	664	35
684)	488	501
685)	486	505
686)	351	58
687)	367	989
688)	409	370
689)	959	703
690)	505	515
691)	515	518
692)	550	631
693)	399	643
694)	523	526
695)	577	128
696)	479	492
697)	193	365
698)	482	487
699)	801	428
700)	887	217
701)	539	524
702)	497	522
703)	482	485
704)	834	264
705)	605	953
706)	517	472
707)	487	525
708)	265	786
709)	493	499
710)	968	568
711)	343	13
712)	479	515
713)	890	744
714)	493	504
715)	622	266
716)	0	597
717)	671	62
718)	298	352
719)	843	3
720)	902	57
721)	924	982
722)	860	778
723)	507	507
724)	293	848
725)	935	868
726)	488	471
727)	902	93
728)	653	733
729)	679	905
730)	869	382
731)	254	348
732)	529	591
733)	507	502
734)	67	127
735)	430	784
736)	628	963
737)	709	363
738)	190	16
739)	51	737
740)	813	946
741)	288	238
742)	693	865
743)	609	693
744)	162	368
745)	663	417
746)	450	907
747)	906	888
748)	983	554
749)	500	491
750)	470	505
751)	493	493
752)	822	257
753)	291	728
754)	316	199
755)	507	504
756)	605	629
757)	517	510
758)	704	526
759)	589	518
760)	15	864
761)	192	564
762)	311	836
763)	498	501
764)	475	511
765)	233	533
766)	493	496
767)	336	669
768)	839	57
769)	356	781
770)	279	333
771)	655	831
772)	460	500
773)	506	491
774)	836	243
775)	96	350
776)	275	545
777)	114	261
778)	152	399
779)	859	974
780)	456	661
781)	855	238
782)	229	483
783)	328	66
784)	122	706
785)	973	692
786)	489	509
787)	288	621
788)	478	506
789)	737	77
790)	156	552
791)	406	831
792)	987	438
793)	512	495
794)	498	526
795)	370	862
796)	146	643
797)	333	582
798)	123	602
799)	679	471
800)	511	481
801)	817	918
802)	522	742
803)	175	419
804)	74	574
805)	235	530
806)	237	877
807)	471	144
808)	402	950
809)	271	93
810)	516	275
811)	79	686
812)	263	620
813)	490	476
814)	712	188
815)	302	853
816)	171	139
817)	790	211
818)	497	469
819)	747	615
820)	87	895
821)	959	735
822)	465	515
823)	509	525
824)	893	617
825)	507	461
826)	111	955
827)	492	492
828)	164	141
829)	654	597
830)	477	512
831)	533	627
832)	986	959
833)	929	363
834)	503	487
835)	536	510
836)	565	853
837)	485	486
838)	51	811
839)	510	521
840)	592	397
841)	504	233
842)	499	504
843)	752	740
844)	509	488
845)	477	521
846)	15	851
847)	521	499
848)	786	189
849)	577	828
850)	494	513
851)	509	510
852)	490	529
853)	515	493
854)	87	891
855)	509	498
856)	507	483
857)	800	796
858)	148	650
859)	513	473
860)	89	665
861)	50	747
862)	502	496
863)	405	531
864)	503	497
865)	433	962
866)	36	23
867)	957	495
868)	512	501
869)	998	356
870)	213	993
871)	39	861
872)	334	691
873)	420	178
874)	319	988
875)	674	624
876)	495	521
877)	877	207
878)	55	925
879)	545	477
880)	852	42
881)	547	856
882)	346	346
883)	196	297
884)	246	83
