c Вес дерева = 2133, диаметр = 4,
c число вершин и ребер
p edge 100 99
c ребра
e 14 2
e 14 3
e 14 4
e 14 6
e 14 8
e 14 9
e 14 10
e 14 11
e 14 13
e 14 17
e 14 20
e 14 22
e 14 24
e 14 26
e 14 27
e 14 28
e 14 30
e 14 31
e 14 32
e 14 37
e 14 38
e 14 39
e 14 40
e 14 41
e 14 43
e 14 44
e 14 45
e 14 49
e 14 53
e 14 54
e 14 55
e 14 57
e 14 59
e 14 60
e 14 61
e 14 62
e 14 64
e 14 65
e 14 66
e 14 67
e 14 68
e 14 69
e 14 71
e 14 72
e 14 73
e 14 75
e 14 76
e 14 77
e 14 78
e 14 79
e 14 81
e 14 83
e 14 84
e 14 86
e 14 87
e 14 88
e 14 90
e 14 91
e 14 92
e 14 93
e 14 95
e 14 96
e 14 98
e 14 99
e 1 30
e 5 30
e 7 66
e 12 91
e 15 91
e 16 64
e 18 37
e 19 91
e 21 64
e 23 30
e 25 37
e 29 30
e 33 79
e 34 64
e 35 90
e 36 4
e 42 37
e 46 37
e 47 13
e 48 91
e 50 90
e 51 4
e 52 91
e 56 91
e 58 28
e 63 37
e 70 91
e 74 79
e 80 79
e 82 91
e 85 91
e 89 64
e 94 40
e 97 37
e 100 30
